cip,label,actComposite,arts,busOper,busAdminSales,sciTech,socServ,technical,sum
1,"Agriculture, Agriculture Operations, and Related Sciences",22.37321,48.0,50.8,51.1,54.1,50.0,53.5,307.5
3,Natural Resources and Conservation,23.4658044,51.2,48.2,48.3,59.2,49.9,57.3,314.1
4,Architecture and Related Services,24.4055882,55.7,49.4,49.8,52.4,49.6,55.4,312.3
5,"Area, Ethnic, Cultural, and Gender Studies",23.2137628,54.4,49.4,54.4,52.7,51.3,49.3,311.5
9,"Communication, Journalism, and Related Programs",22.6980955,55.6,48.4,54.9,49.8,53.2,48.6,310.5
10,Communications Technologies/Technicians and Support Services,20.5591856,56.7,50.3,49.1,52.4,49.5,54.0,312.0
11,Computer and Information Sciences and Support Services,23.3316056,51.2,51.7,48.6,53.7,46.5,53.1,304.8
12,Personal and Culinary Services,17.9906926,50.5,51.7,50.1,53.8,48.8,54.4,309.3
13,Education,21.2962173,51.2,49.5,50.8,50.2,53.1,49.7,304.5
14,Engineering,26.2904929,51.0,52.4,50.7,56.8,49.2,56.1,316.2
15,Engineering Technologies/Technicians,19.8234426,49.4,50.5,49.2,52.5,48.4,56.7,306.7
16,"Foreign Languages, Literatures, and Linguistics",24.3979111,55.8,49.0,50.9,54.6,53.0,51.0,314.3
19,Family and Consumer Sciences/Human Sciences,20.7425034,51.5,49.2,51.2,49.7,52.9,48.6,303.1
22,Legal Professions and Studies,20.9674593,49.4,51.4,55.8,50.9,51.2,48.7,307.4
23,English Language and Literature/Letters,23.8733073,59.5,47.3,52.0,53.0,52.1,49.8,313.7
24,"Liberal Arts and Sciences, General Studies and Humanities",21.2171701,51.0,50.2,51.0,52.6,51.0,51.1,306.9
26,Biological and Biomedical Sciences,24.0511976,51.0,49.6,49.7,59.4,52.1,51.5,313.3
27,Mathematics and Statistics,25.1422965,50.8,54.1,50.2,54.0,50.0,52.8,311.9
30,"Multi/Interdis""cip""linary Studies",22.5378549,53.4,48.7,51.2,52.8,51.1,50.5,307.7
31,"Parks, Recreation, Leisure, and Fitness Studies",21.1661887,49.1,49.2,49.9,51.6,52.1,51.9,303.8
38,Philosophy and Religious Studies,24.2277147,57.8,47.1,52.3,55.8,51.0,51.0,315.0
39,Theology and Religious Vocations,22.8513165,55.1,46.8,51.2,49.2,55.6,50.7,308.6
40,Physical Sciences,24.9362106,50.9,50.8,49.2,59.1,50.2,52.8,313.0
42,Psychology,22.3480661,53.0,48.7,51.5,53.6,53.3,48.8,308.9
43,Security and Protective Services,18.9063841,49.2,49.9,52.1,52.2,52.1,52.3,307.8
44,Public Administration and Social Service Professions,20.3156544,50.8,49.3,51.8,49.2,54.0,48.0,303.1
45,Social Sciences,23.612167499999998,52.4,49.6,54.8,53.2,52.3,50.0,312.3
47,Mechanic and Repair Technologies/Technicians,17.6068171,48.3,49.8,46.4,50.2,47.1,58.6,300.4
49,Transportation and Materials Moving,22.0620229,49.9,49.5,50.5,53.9,49.8,55.0,308.6
50,Visual and Performing Arts,22.601264,59.7,46.9,48.8,51.6,50.3,51.7,309.0
51,Health Professions and Related Clinical Sciences,21.0509498,49.1,50.0,49.7,54.8,52.6,49.2,305.4
52,"Business, Management, Marketing, and Related Support Services",22.4023108,49.6,53.6,54.2,50.4,50.9,50.5,309.2
54,History,23.488665,54.0,48.4,52.7,54.2,51.3,50.7,311.3
